Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,India,IND,0.318615114333022,0.29587173391399,0.274618372126596,0.245857820138793,0.231104360820657,0.21120860015659,0.202170838563706,0.304152105923377,0.174890497574788,0.155073471105069,..
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Brazil,BRA,0.106045670260473,0.10488759397577,0.102414700820188,0.0984339203802137,0.100303947909106,0.100960441725636,0.127504895229096,0.188629877743384,0.151849015101862,0.0964280845728622,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,China,CHN,2234,2576,2602,2724,3452,3726,4830,5118,6411,7580,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,India,IND,314,338,364,407,433,473,495,329,572,645,..
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,Brazil,BRA,943,953,976,1016,997,990,784,530,659,1037,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,China,CHN,..,..,..,..,..,..,95.0500030517578,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,India,IND,..,..,..,..,65.2235287519263,66.9856882300986,67.5732651200292,68.2001669604087,69.0999984741211,74.8600006103516,70.7386770919019
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Brazil,BRA,92.0599975585938,92.3399963378906,93.0199966430664,93.2399978637695,93.4300003051758,94.1479802818569,94.969898576159,95.0289789623558,94.6464003280731,94.859716066824,95.0100021362305
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,China,CHN,..,..,..,..,..,..,98.379997253418,..,..,..,..
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,India,IND,..,..,..,..,81.9915266673935,82.7755272824041,83.3278967147349,83.8821930381623,83.4499969482422,88.3099975585938,85.6937156128627
"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,Brazil,BRA,91.370002746582,91.7300033569336,92.5800018310547,92.8899993896484,93.0100021362305,93.6192838862727,94.5029985717557,94.498081416589,94.0878828490769,94.2648848367754,94.4499969482422
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,China,CHN,..,..,..,..,..,..,96.7399978637695,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,India,IND,..,..,..,..,73.6883524760717,74.8938629973395,75.5270629470344,76.0596617430205,76.3199996948242,81.6999969482422,78.1625330351403
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Brazil,BRA,91.7300033569336,92.0500030517578,92.8099975585938,93.0800018310547,93.2300033569336,93.8926266999537,94.7444114331042,94.7726170886975,94.376866160108,94.5725490635077,94.7399978637695
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,China,CHN,..,..,..,..,..,..,99.75,..,..,..,..
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,India,IND,..,..,93.5500030517578,..,96.3076261559778,96.2428905222007,96.5368465179683,97.0747038269129,97.4400024414062,97.9300003051758,97.9901116105317
"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,Brazil,BRA,98.4499969482422,98.5999984741211,98.7799987792969,98.8399963378906,98.9800033569336,98.7,99,99.1,99,99,99.2399978637695
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,China,CHN,..,..,..,..,..,..,99.7600021362305,..,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,India,IND,..,..,90.2900009155273,..,94.6062793409244,94.7674702180886,95.675096052413,95.8899228556846,96.5400009155273,97.0400009155273,97.3386000977043
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,Brazil,BRA,98.8499984741211,98.9599990844727,99.1100006103516,99.1600036621094,99.1999969482422,99.1,99.2,99.3,99.3,99.3,99.4599990844727
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,China,CHN,5.064320362,5.037357965,5.008052354,4.981858305,4.963477394,4.962522124,4.973518577,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,India,IND,28.94782702,28.66160295,28.36879643,28.08633456,27.8332971,27.62056764,27.43525934,..,..,..,..
Low-birthweight babies (% of births),SH.STA.BRTW.ZS,Brazil,BRA,8.436405842,8.496267276,8.553059488,8.601920539,8.640901624,8.671332659,8.698070886,..,..,..,..
Malaria cases reported,SH.STA.MALR,China,CHN,53,39,1,0,0,0,0,..,0,..,0
Malaria cases reported,SH.STA.MALR,India,IND,1102205,1169261,1087285,844558,429928,338494,299071,304741,266949,227564,246696
Malaria cases reported,SH.STA.MALR,Brazil,BRA,137888,141229,124177,189559,187757,153294,143395,139021,129000,140261,138620
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,China,CHN,..,100,..,100,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,India,IND,..,100,..,100,..,..,..,..,..,..,..
Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,Brazil,BRA,..,100,..,100,..,..,..,..,..,..,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,China,CHN,28,26,25,24,22,21,20,21,18,16,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,India,IND,137,129,121,113,107,101,101,155,90,80,..
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Brazil,BRA,63,63,64,61,62,65,85,128,104,67,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,China,CHN,21.7,20.1,19.9,19.6,18.3,17.8,..,..,..,..,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,India,IND,..,130,..,..,..,..,..,..,..,..,..
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Brazil,BRA,63.8,62,64.4,64.5,59.1,57.9,74.7,117.4,57.7,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,China,CHN,18.8,18.3,18,17.8,17.6,17.4,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,India,IND,16.1,15.6,15.3,15.2,15.5,15.6,..,..,..,..,..
"Mortality caused by road traffic injury (per 100,000 people)",SH.STA.TRAF.P5,Brazil,BRA,23.6,20.8,19.9,18.7,17.1,16,..,..,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,China,CHN,9.5,9.2,9.2,9.1,9,8.9,..,..,..,..,..
"Mortality caused by road traffic injury, female (per 100,000 female population)",SH.STA.TRAF.FE.P5,India,IND,7,7,7,6.9,7,7,..,..,..,..,..
